PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Shaquille Harrison,189.2,0.077,0.75,0.4,0.237,1.143,1.1,0.208,1.047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.942,1.2,0.072,0.8,0.3,0.048,1.8,0.2,0.0,0.0,0.0,0.048,1.2,0.2,0.0,0.0,0.0
Skal Labissiere,178.2,0.0,0.0,0.0,0.052,1.0,0.3,0.0,0.0,0.0,0.275,1.208,1.6,0.088,0.824,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.192,1.405,1.1,0.0,0.0,0.0,0.207,0.9,1.2,0.124,0.292,0.7
Solomon Hill,273.6,0.069,0.85,0.4,0.189,1.091,1.1,0.0,0.0,0.0,0.082,0.958,0.5,0.0,0.0,0.0,0.368,1.037,2.2,0.041,0.5,0.3,0.045,1.154,0.3,0.052,0.733,0.3,0.038,1.364,0.2,0.072,0.333,0.4
Spencer Dinwiddie,1376.0000000000002,0.148,0.951,3.2,0.139,1.052,3.0,0.482,0.889,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.111,1.026,2.4,0.027,0.789,0.6,0.014,1.632,0.3,0.027,1.5,0.6,0.009,0.5,0.2,0.038,0.5,0.8
Stephen Curry,79.0,0.0,0.0,0.0,0.118,1.077,2.6,0.3,0.909,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.127,1.357,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.474,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Sterling Brown,261.0,0.0,0.0,0.0,0.25,0.567,1.5,0.164,0.477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,1.1,1.8,0.067,0.833,0.4,0.045,1.667,0.3,0.052,1.071,0.3,0.052,1.143,0.3,0.041,0.727,0.2
Steven Adams,597.4,0.021,0.769,0.2,0.06,1.162,0.6,0.018,1.273,0.2,0.23,1.268,2.4,0.23,0.887,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.226,1.6,0.0,0.0,0.0,0.176,0.954,1.9,0.097,0.55,1.0
Svi Mykhailiuk,487.2,0.0,0.0,0.0,0.217,1.159,1.9,0.144,0.62,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.296,1.13,2.6,0.128,1.016,1.1,0.028,1.0,0.3,0.126,1.065,1.1,0.0,0.0,0.0,0.043,0.476,0.4
T.J. McConnell,453.59999999999997,0.045,1.476,0.3,0.188,1.057,1.4,0.459,0.869,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.81,0.9,0.03,0.714,0.2,0.047,0.909,0.3,0.0,0.0,0.0,0.022,0.6,0.2,0.067,0.323,0.5
T.J. Warren,1012.5999999999999,0.041,0.833,0.7,0.197,1.269,3.3,0.184,0.888,3.1,0.0,0.0,0.0,0.025,0.538,0.4,0.225,1.1,3.8,0.062,1.143,1.0,0.086,1.466,1.4,0.091,1.097,1.5,0.049,1.5,0.8,0.037,0.684,0.6
TJ Leaf,52.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,1.154,0.8,0.0,0.0,0.0,0.221,0.8,0.9,0.0,0.0,0.0,0.147,0.8,0.6,0.0,0.0,0.0,0.235,0.5,1.0,0.0,0.0,0.0
Taj Gibson,353.4,0.0,0.0,0.0,0.075,1.222,0.4,0.0,0.0,0.0,0.237,1.306,1.4,0.117,0.976,0.7,0.114,0.659,0.7,0.0,0.0,0.0,0.17,1.426,1.0,0.0,0.0,0.0,0.167,1.15,1.0,0.092,0.152,0.5
Taurean Prince,896.0,0.045,0.78,0.6,0.186,0.982,2.6,0.074,0.657,1.0,0.04,0.75,0.6,0.0,0.0,0.0,0.421,0.911,5.9,0.049,0.568,0.7,0.018,1.063,0.3,0.095,0.849,1.3,0.021,0.684,0.3,0.05,0.511,0.7
