PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Kostas Papanikolaou,Denver Nuggets,78,0,0,0,0.118,0.727,0.4,0.14,0,0.5,0,0,0,0,0,0,0.376,0.771,1.3,0.108,1.5,0.4,0,0,0,0,0,0,0,0,0,0.118,0.455,0.4
Kris Humphries,Washington Wizards,199.5,0,0,0,0.133,1.192,0.9,0,0,0,0.256,1.12,1.8,0,0,0,0.349,0.809,2.4,0,0,0,0.168,1.087,1.1,0,0,0,0.092,0.944,0.6,0.117,1.125,0.8
Kristaps Porzingis,New York Knicks,1101.6,0.061,0.765,0.9,0.072,0.95,1.1,0.012,0.615,0.2,0.137,1.072,2.1,0.15,0.821,2.3,0.248,0.812,3.8,0,0,0,0.107,1.125,1.7,0.075,0.893,1.2,0.072,1.235,1.1,0.058,0.708,0.9
Kyle Anderson,San Antonio Spurs,374.4,0.136,1.132,0.7,0.156,0.787,0.8,0.097,0.895,0.5,0,0,0,0.097,0.737,0.5,0.279,1.018,1.4,0.049,0.526,0.2,0.041,1.25,0.2,0,0,0,0.036,0.643,0.2,0.067,0.462,0.3
Kyle Korver,Atlanta Hawks,712,0,0,0,0.139,1.16,1.3,0.068,0.918,0.6,0,0,0,0,0,0,0.24,1.127,2.2,0.132,0.958,1.2,0.035,1.16,0.3,0.314,1,2.8,0,0,0,0.058,0.333,0.5
Kyle Lowry,Toronto Raptors,1640.1,0.098,0.931,2.1,0.168,1.208,3.6,0.357,0.863,7.6,0.007,1.417,0.2,0.018,0.733,0.4,0.157,1.156,3.3,0.055,1.079,1.2,0.007,1.727,0.1,0.061,0.89,1.3,0.012,0.895,0.2,0.06,0.732,1.3
Kyle O'Quinn,New York Knicks,364,0.064,0.957,0.4,0.064,1.174,0.4,0,0,0,0.197,0.775,1.1,0.183,0.727,1,0.147,0.887,0.8,0,0,0,0.142,1.078,0.8,0,0,0,0.1,1.167,0.6,0.086,0.323,0.5
Kyle Singler,Oklahoma City Thunder,251.6,0,0,0,0.185,1.14,0.7,0,0,0,0,0,0,0,0,0,0.402,0.817,1.6,0.055,0.267,0.2,0.125,0.853,0.5,0,0,0,0.089,0.958,0.4,0.063,0.353,0.3
Kyrie Irving,Cleveland Cavaliers,1075.9,0.143,0.948,2.9,0.131,1.214,2.6,0.436,0.893,8.8,0,0,0,0.019,0.8,0.4,0.107,0.965,2.2,0.043,0.717,0.9,0.013,1.5,0.3,0.043,1.022,0.9,0.014,0.667,0.3,0.049,0.827,1
LaMarcus Aldridge,San Antonio Spurs,1272.8,0.012,0.933,0.2,0.048,1.419,0.8,0,0,0,0.202,0.903,3.5,0.337,0.998,5.8,0.156,0.865,2.7,0,0,0,0.09,1.435,1.6,0.027,0.686,0.5,0.098,1.413,1.7,0.024,0.484,0.4
